Date,Total Cases,Total Death
28 Mar 22,1331994,11890
27 Mar 22,1317780,11739
26 Mar 22,1303376,11600
25 Mar 22,1285737,11408
24 Mar 22,1267825,11207
23 Mar 22,1213223,11002
22 Mar 22,1194502,10757
21 Mar 22,1178456,10534
20 Mar 22,1163822,10288
19 Mar 22,1143612,10037
18 Mar 22,1121344,9772
17 Mar 22,1099067,9483
16 Mar 22,1066837,9204
15 Mar 22,1035685,8915
14 Mar 22,1007357,8629
13 Mar 22,972785,8365
12 Mar 22,944664,8080
11 Mar 22,688645,7786
10 Mar 22,663465,7505
09 Mar 22,637181,7214
08 Mar 22,608369,6923
07 Mar 22,582894,6643
06 Mar 22,551559,6410
05 Mar 22,513701,6190
04 Mar 22,460897,6002
03 Mar 22,403776,5804
02 Mar 22,348208,5626
01 Mar 22,315387,5380
27 Feb 22,248127,5213
26 Feb 22,202989,5133
25 Feb 22,192730,5061
24 Feb 22,183708,5021
23 Feb 22,174848,4972
22 Feb 22,168431,4936
21 Feb 22,160760,4924
20 Feb 22,154549,4930
19 Feb 22,148291,4895
18 Feb 22,144525,4874
17 Feb 22,138322,4863
16 Feb 22,133945,4860
15 Feb 22,132224,4857
14 Feb 22,130073,4855
13 Feb 22,128642,4855
12 Feb 22,127061,4852
11 Feb 22,125637,4852
10 Feb 22,124550,4851
09 Feb 22,123361,4849
08 Feb 22,122625,4849
07 Feb 22,121906,4849
06 Feb 22,121485,4849
05 Feb 22,121091,4849
04 Feb 22,120933,4849
03 Feb 22,120762,4849
02 Feb 22,120607,4849
01 Feb 22,120415,4849
31 Jan 22,120257,4849
30 Jan 22,120118,4849
29 Jan 22,119918,4849
28 Jan 22,119744,4849
27 Jan 22,119516,4849
26 Jan 22,119347,4849
25 Jan 22,119179,4849
24 Jan 22,119025,4849
23 Jan 22,118830,4849
22 Jan 22,118746,4849
21 Jan 22,118659,4849
20 Jan 22,118572,4849
19 Jan 22,118490,4849
18 Jan 22,118385,4849
17 Jan 22,118207,4849
16 Jan 22,117973,4849
15 Jan 22,117849,4849
14 Jan 22,117675,4849
13 Jan 22,117460,4849
12 Jan 22,117248,4849
11 Jan 22,117006,4849
10 Jan 22,116790,4849
09 Jan 22,116600,4849
08 Jan 22,116398,4849
07 Jan 22,116206,4849
06 Jan 22,115999,4849
05 Jan 22,115772,4849
04 Jan 22,115642,4849
03 Jan 22,115438,4849
02 Jan 22,115251,4849
01 Jan 22,115042,4849
31 Dec 21,114794,4849
30 Dec 21,114586,4849
29 Dec 21,114365,4849
28 Dec 21,114162,4849
27 Dec 21,113791,4849
26 Dec 21,113574,4849
25 Dec 21,113503,4849
24 Dec 21,113358,4849
23 Dec 21,113269,4849
22 Dec 21,113163,4849
21 Dec 21,113077,4849
20 Dec 21,112989,4849
19 Dec 21,112879,4849
18 Dec 21,112791,4849
17 Dec 21,112659,4849
16 Dec 21,112573,4849
15 Dec 21,112497,4849
14 Dec 21,112423,4849
13 Dec 21,112345,4849
12 Dec 21,112239,4849
11 Dec 21,112163,4849
10 Dec 21,112072,4849
09 Dec 21,112002,4849
08 Dec 21,111919,4849
07 Dec 21,111840,4849
06 Dec 21,111741,4849
05 Dec 21,111671,4849
04 Dec 21,111608,4849
03 Dec 21,111515,4849
02 Dec 21,111413,4849
01 Dec 21,111337,4849
30 Nov 21,111218,4849
29 Nov 21,111176,4849
28 Nov 21,111132,4849
27 Nov 21,111106,4849
26 Nov 21,111077,4849
25 Nov 21,111058,4849
24 Nov 21,111033,4849
23 Nov 21,111005,4849
22 Nov 21,110983,4849
21 Nov 21,110943,4849
20 Nov 21,110923,4849
19 Nov 21,110899,4849
18 Nov 21,110871,4849
17 Nov 21,110833,4849
16 Nov 21,110801,4849
15 Nov 21,110773,4849
14 Nov 21,110720,4849
13 Nov 21,110629,4849
12 Nov 21,110553,4849
11 Nov 21,110454,4849
10 Nov 21,110385,4849
09 Nov 21,110330,4849
08 Nov 21,110268,4849
07 Nov 21,110178,4849
06 Nov 21,110102,4849
05 Nov 21,110041,4849
04 Nov 21,109956,4849
03 Nov 21,109850,4849
02 Nov 21,109738,4849
01 Nov 21,109666,4849
31 Oct 21,109574,4849
30 Oct 21,109499,4849
29 Oct 21,109416,4849
28 Oct 21,109350,4849
27 Oct 21,109306,4849
26 Oct 21,109264,4849
25 Oct 21,109197,4849
24 Oct 21,109155,4849
23 Oct 21,109105,4849
22 Oct 21,109058,4849
21 Oct 21,109004,4849
20 Oct 21,108979,4849
19 Oct 21,108947,4849
18 Oct 21,108921,4849
17 Oct 21,108891,4849
16 Oct 21,108864,4849
15 Oct 21,108841,4849
14 Oct 21,108835,4849
13 Oct 21,108806,4849
12 Oct 21,108780,4849
11 Oct 21,108761,4849
10 Oct 21,108705,4849
09 Oct 21,108704,4849
08 Oct 21,108683,4849
07 Oct 21,108653,4849
06 Oct 21,108622,4849
05 Oct 21,108588,4849
04 Oct 21,108555,4849
03 Oct 21,108528,4849
02 Oct 21,108495,4849
01 Oct 21,108450,4849
30 Sep 21,108413,4849
29 Sep 21,108386,4849
28 Sep 21,108344,4849
27 Sep 21,108309,4849
26 Sep 21,108266,4849
25 Sep 21,108227,4849
24 Sep 21,108180,4849
23 Sep 21,108124,4849
22 Sep 21,108080,4849
21 Sep 21,108038,4849
20 Sep 21,107961,4849
19 Sep 21,107909,4849
18 Sep 21,107838,4849
17 Sep 21,107789,4849
16 Sep 21,107705,4849
15 Sep 21,107624,4849
14 Sep 21,107549,4849
13 Sep 21,107456,4848
12 Sep 21,107404,4848
11 Sep 21,107354,4848
10 Sep 21,107324,4848
09 Sep 21,107305,4848
08 Sep 21,107275,4848
07 Sep 21,107250,4848
06 Sep 21,107212,4848
05 Sep 21,107186,4848
04 Sep 21,107157,4848
03 Sep 21,107130,4848
02 Sep 21,107102,4848
01 Sep 21,107073,4848
31 Aug 21,107052,4848
30 Aug 21,107012,4848
29 Aug 21,106982,4848
28 Aug 21,106943,4848
27 Aug 21,106905,4848
26 Aug 21,106870,4848
25 Aug 21,106839,4848
24 Aug 21,106812,4848
23 Aug 21,106772,4848
22 Aug 21,106746,4848
21 Aug 21,106711,4848
20 Aug 21,106689,4848
19 Aug 21,106651,4848
18 Aug 21,106602,4848
17 Aug 21,106571,4848
16 Aug 21,106526,4848
15 Aug 21,106474,4848
14 Aug 21,106419,4848
13 Aug 21,106348,4848
12 Aug 21,106244,4848
11 Aug 21,106162,4848
10 Aug 21,106047,4848
09 Aug 21,105902,4848
08 Aug 21,105775,4848
07 Aug 21,105672,4848
06 Aug 21,105563,4848
05 Aug 21,105433,4848
04 Aug 21,105346,4848
03 Aug 21,105242,4848
02 Aug 21,105149,4848
01 Aug 21,105050,4848
31 Jul 21,104973,4848
30 Jul 21,104918,4848
29 Jul 21,104850,4848
28 Jul 21,104800,4848
27 Jul 21,104713,4848
26 Jul 21,104642,4848
25 Jul 21,104562,4848
24 Jul 21,104563,4851
23 Jul 21,104489,4848
22 Jul 21,104440,4848
21 Jul 21,104362,4848
20 Jul 21,104355,4848
19 Jul 21,104290,4848
18 Jul 21,104257,4848
17 Jul 21,104224,4848
16 Jul 21,104193,4848
15 Jul 21,104157,4848
14 Jul 21,104126,4848
